msg,msg_time,reply,reply_time
Recommend movies similar to Hamlet and Othello. ,2023-11-01 14:48:07,"Here are some recommendations: Unbroken: Path to Redemption, That Evening Sun, Lost in America, The Peanut Butter Falcon, The High Note",2023-11-01 14:48:07
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-01 14:48:20,"Here are some recommendations: A Nightmare on Elm Street, Final Destination 3, Jason X, Overlord, A Nightmare on Elm Street",2023-11-01 14:48:21
What does Julia Roberts look like? ,2023-11-01 14:48:34,image:3739/rm3651656960,2023-11-01 14:48:34
"Let me know what Sandra Bullock looks like. 
",2023-11-01 14:48:53,image:3866/rm325111296,2023-11-01 14:48:53
Show me an image of Narendra Modi.,2023-11-01 14:49:14,I don't have any results for this.,2023-11-01 14:49:15
Picture of Priyanka Chopra,2023-11-01 14:49:59,image:1869/rm1672937472,2023-11-01 14:50:00
Show me a poster of the movie Titanic.,2023-11-01 14:50:14,I looked into my dataset but unfortunately I did not find any results for this.,2023-11-01 14:50:15
Recommend me some movies of Tom Cruise.,2023-11-01 14:55:11,"Here are some recommendations: Legend, Taps, Space Station 3D, Lions for Lambs, Going Clear: Scientology, Hollywood, and the Prison of Belief",2023-11-01 14:55:12
Give me some recomendations of comedy movies.,2023-11-01 14:56:27,I looked into my dataset but unfortunately I did not find any results for this.,2023-11-01 14:56:27
Give me some recommendation of comedy movies.,2023-11-01 14:57:06,"Here are some recommendations: Kids in America, Ninna, Peacemaker, The Associate, Thunderbolt",2023-11-01 14:57:06
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:01:32,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:01:32
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:01:32,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:01:33
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:01:33,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:01:33
"
Show me a picture of Halle Berry. ",2023-11-01 15:01:48,image:0353/rm3257480192,2023-11-01 15:01:48
"
Show me a picture of Halle Berry. ",2023-11-01 15:01:48,image:0353/rm3257480192,2023-11-01 15:01:48
"
Show me a picture of Halle Berry. ",2023-11-01 15:01:48,image:0353/rm3257480192,2023-11-01 15:01:48
What does Julia Roberts look like? ,2023-11-01 15:01:58,image:3739/rm3651656960,2023-11-01 15:01:58
What does Julia Roberts look like? ,2023-11-01 15:01:58,image:3739/rm3651656960,2023-11-01 15:01:58
What does Julia Roberts look like? ,2023-11-01 15:01:58,image:3739/rm3651656960,2023-11-01 15:01:58
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-01 15:02:13,"Here are some recommendations: Never Sleep Again: The Elm Street Legacy, Halloween H20: 20 Years Later, Kill for Me, Friday the 13th, The Texas Chain Saw Massacre",2023-11-01 15:02:14
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-01 15:02:14,"Here are some recommendations: Halloween: Resurrection, A Nightmare on Elm Street, Dolan's Cadillac, Halloween, A Nightmare on Elm Street 5: The Dream Child",2023-11-01 15:02:15
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-01 15:02:15,"Here are some recommendations: Final Destination 3, A Nightmare on Elm Street, A Nightmare on Elm Street 4: The Dream Master, Child's Play, Jason X",2023-11-01 15:02:15
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-01 15:02:40,"Here are some recommendations: Wonder Park, John Dies at the End, Zootopia, Phantasm: Ravager, Aladdin",2023-11-01 15:02:41
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-01 15:02:41,"Here are some recommendations: The Secret Life of Pets, The Angry Birds Movie 2, Phantasm III: Lord of the Dead, Wonder Park, Sundown: The Vampire in Retreat",2023-11-01 15:02:41
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-01 15:02:41,"Here are some recommendations: Zootopia, Phantasm IV: Oblivion, Ralph Breaks the Internet, Phantasm II, Phantasm: Ravager",2023-11-01 15:02:42
"
Recommend movies similar to Hamlet and Othello.",2023-11-01 15:03:18,"Here are some recommendations: Crazy in Alabama, Nobody's Fool, Unbroken: Path to Redemption, The High Note, The Peanut Butter Falcon",2023-11-01 15:03:19
"
Recommend movies similar to Hamlet and Othello.",2023-11-01 15:03:19,"Here are some recommendations: Crazy in Alabama, That Evening Sun, The Peanut Butter Falcon, Dude Bro Party Massacre III, Nobody's Fool",2023-11-01 15:03:19
"
Recommend movies similar to Hamlet and Othello.",2023-11-01 15:03:19,"Here are some recommendations: Crazy in Alabama, Nobody's Fool, Lost in America, Horse Girl, The Peanut Butter Falcon",2023-11-01 15:03:19
"hello
",2023-11-01 15:03:32,Enjoy :D,2023-11-01 15:03:32
Who is the director of Good Will Hunting? ,2023-11-01 15:03:44,I think it is Gus Van Sant.,2023-11-01 15:03:44
Who is the director of Good Will Hunting? ,2023-11-01 15:03:44,I think it is Gus Van Sant.,2023-11-01 15:03:44
Who is the director of Good Will Hunting? ,2023-11-01 15:03:44,I think it is Gus Van Sant.,2023-11-01 15:03:44
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-01 15:03:48,"Here are some recommendations: Child's Play, The Crazies, A Nightmare on Elm Street 5: The Dream Child, A Nightmare on Elm Street, Smashed",2023-11-01 15:03:49
Who directed The Bridge on the River Kwai? ,2023-11-01 15:03:57,I think it is David Lean.,2023-11-01 15:03:57
Who directed The Bridge on the River Kwai? ,2023-11-01 15:03:57,I think it is David Lean.,2023-11-01 15:03:58
Who directed The Bridge on the River Kwai? ,2023-11-01 15:03:58,I think it is David Lean.,2023-11-01 15:03:58
Who is the director of Star Wars: Episode VI - Return of the Jedi,2023-11-01 15:04:10,I think it is Richard Marquand.,2023-11-01 15:04:11
Who is the director of Star Wars: Episode VI - Return of the Jedi,2023-11-01 15:04:11,I think it is Richard Marquand.,2023-11-01 15:04:11
Who is the director of Star Wars: Episode VI - Return of the Jedi,2023-11-01 15:04:11,I think it is Richard Marquand.,2023-11-01 15:04:11
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:04:23,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:04:24
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:04:24,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:04:24
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:04:24,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:04:25
"Let me know what Sandra Bullock looks like. 

",2023-11-01 15:04:31,image:3866/rm325111296,2023-11-01 15:04:31
What is the MPAA film rating of Weathering with You? ,2023-11-01 15:04:43,"According to embeddings, your answers are R, PG-13, NC-17",2023-11-01 15:04:44
What is the MPAA film rating of Weathering with You? ,2023-11-01 15:04:44,"According to embeddings, your answers are R, PG-13, NC-17",2023-11-01 15:04:44
What is the MPAA film rating of Weathering with You? ,2023-11-01 15:04:44,"According to embeddings, your answers are R, PG-13, NC-17",2023-11-01 15:04:44
"Who is the director of Good Will Hunting? 

",2023-11-01 15:04:50,I think it is Gus Van Sant.,2023-11-01 15:04:50
What is the genre of Good Neighbors? ,2023-11-01 15:04:54,"I think it's  art film, comedy-drama",2023-11-01 15:04:55
What is the genre of Good Neighbors? ,2023-11-01 15:04:55,"I think it's  art film, comedy-drama",2023-11-01 15:04:55
What is the genre of Good Neighbors? ,2023-11-01 15:04:55,"I think it's  art film, comedy-drama",2023-11-01 15:04:55
Can you recommend me the movie released in 2020?,2023-11-01 15:07:22,"Here are some recommendations: April 2016, 1832, 2016, 2019, predator",2023-11-01 15:07:22
Show me a picture of Tom Holland.,2023-11-01 15:07:31,image:0442/rm3570925568,2023-11-01 15:07:31
Show me a picture of Tom Holland.,2023-11-01 15:07:31,image:0442/rm3570925568,2023-11-01 15:07:31
Show me a picture of Tom Holland.,2023-11-01 15:07:31,image:0442/rm3570925568,2023-11-01 15:07:31
what does Prime Minister Narendra Modi looks like?,2023-11-01 15:08:46,I looked into my dataset but unfortunately I did not find any results for this.,2023-11-01 15:08:48
what does Prime Minister Narendra Modi looks like?,2023-11-01 15:08:48,I looked into my dataset but unfortunately I did not find any results for this.,2023-11-01 15:08:49
what does Prime Minister Narendra Modi looks like?,2023-11-01 15:08:49,I am sorry but I don't find any suitable results for you.,2023-11-01 15:08:51
Show me a picture of Donald Trump?,2023-11-01 15:09:14,image:0603/rm361258752,2023-11-01 15:09:14
Show me a picture of Donald Trump?,2023-11-01 15:09:14,image:0603/rm361258752,2023-11-01 15:09:14
Show me a picture of Donald Trump?,2023-11-01 15:09:14,image:0603/rm361258752,2023-11-01 15:09:14
Show me a picture of Rupal,2023-11-01 15:09:49,I looked into my dataset but unfortunately I did not find any results for this.,2023-11-01 15:09:49
Show me a picture of Rupal,2023-11-01 15:09:50,I am sorry but I don't find any suitable results for you.,2023-11-01 15:09:50
Show me a picture of Rupal,2023-11-01 15:09:50,I am sorry but I don't find any suitable results for you.,2023-11-01 15:09:50
Show me a picture of Kim,2023-11-01 15:10:11,I cannot find any results for you. Do you have any other question for me?,2023-11-01 15:10:11
Show me a picture of Kim,2023-11-01 15:10:11,I looked into my dataset but unfortunately I did not find any results for this.,2023-11-01 15:10:12
Show me a picture of Kim,2023-11-01 15:10:12,I don't have any results for this.,2023-11-01 15:10:12
Show me a picture of Kim Kardasian,2023-11-01 15:10:25,image:2747/rm2731835648,2023-11-01 15:10:25
Show me a picture of Kim Kardasian,2023-11-01 15:10:25,image:2747/rm2731835648,2023-11-01 15:10:26
Show me a picture of Kim Kardasian,2023-11-01 15:10:26,image:2747/rm2731835648,2023-11-01 15:10:27
"When was ""The Godfather"" released? ",2023-11-01 15:15:36,I think it is 1972-03-15.,2023-11-01 15:15:37
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-01 15:15:49,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-01 15:15:50
Who is the director of Star Wars: Episode VI - Return of the Jedi? ,2023-11-01 15:16:00,I think it is Richard Marquand.,2023-11-01 15:16:00
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-01 15:16:13,"Here are some recommendations: Dora and the Lost City of Gold, John Dies at the End, Aladdin, The Secret Life of Pets, Ralph Breaks the Internet",2023-11-01 15:16:13
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween",2023-11-01 15:16:26,"Here are some recommendations: Halloween, A Nightmare on Elm Street, Halloween: Resurrection, The Final Destination, Smashed",2023-11-01 15:16:27
recommend me some movies which are similar to The Dark Knight.,2023-11-01 15:17:04,"Here are some recommendations: Batman Begins, Batman, Batman v Superman: Dawn of Justice, Inception, The Dark Knight XXX: A Porn Parody",2023-11-01 15:17:04
Recommend me some movies of Priyanka Chopra.,2023-11-01 15:17:27,"Here are some recommendations: Mary Kom, Bajirao Mastani, Baywatch, Fashion, 7 Khoon Maaf",2023-11-01 15:17:27
Recommend  me some songs of BTS,2023-11-01 15:17:49,"Here are some recommendations: Cliffhanger, Dracula 3000, Carnosaur, Retroactive, Omega Doom",2023-11-01 15:17:49
recommend me some songs of Taylor Swift,2023-11-01 15:18:26,"Here are some recommendations: Harry Styles, Lady Gaga, Miley Cyrus, Noah Cyrus, Dolly Parton",2023-11-01 15:18:26
"show me an image on Merly streep
",2023-11-01 15:20:08,image:2986/rm203856640,2023-11-01 15:20:09
Recommend me some movies of Huge Jackman,2023-11-01 15:20:30,"Here are some recommendations: The Sum of All Fears, A Simple Plan, GoldenEye, Smilla's Sense of Snow, Virus",2023-11-01 15:20:30
Recommend me some movies of Hugh Jackman,2023-11-01 15:21:17,"Here are some recommendations: Butter, Kate & Leopold, The Front Runner, Australia, Swordfish",2023-11-01 15:21:17
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 13:18:04,I don't find any suitable recommendation for you! Do you want me to look for something else?,2023-11-13 13:18:05
Recomend me movies which are released in 2022,2023-11-13 13:18:39,I don't find any suitable recommendation for you! Do you want me to look for something else?,2023-11-13 13:18:40
Recommend me director of Comedy Movies,2023-11-13 13:19:06,I am not sure I understand it properly. Try to rephrase it.,2023-11-13 13:19:06
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 13:21:23,"Here are some recommendations: Moana, Phantasm III: Lord of the Dead, Aladdin, Phantasm IV: Oblivion, Wonder Park",2023-11-13 13:21:24
Recomend me movies which are released in 2022,2023-11-13 13:21:24,"Here are some recommendations: Moses, Belly of the Beast, The Moment After 2: The Awakening, Wings of Courage, Darkman II: The Return of Durant",2023-11-13 13:21:25
Recommend me director of Comedy Movies,2023-11-13 13:21:25,"Here are some recommendations: Peacemaker, Ninna, Poseta maloj planeti, Race 3, Madea",2023-11-13 13:21:26
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 13:22:25,"Here are some recommendations: Wonder Park, Phantasm IV: Oblivion, The Secret Life of Pets, Sundown: The Vampire in Retreat, Aladdin",2023-11-13 13:22:26
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-13 13:22:38,"Here are some recommendations: Halloween H20: 20 Years Later, Hell Fest, Friday the 13th, A Nightmare on Elm Street 3: Dream Warriors, Overlord",2023-11-13 13:22:39
recommend movies similar to Hamlet and Othello. ,2023-11-13 13:23:04,"Here are some recommendations: Unbroken: Path to Redemption, Dude Bro Party Massacre III, The Peanut Butter Falcon, Lost in America, That Evening Sun",2023-11-13 13:23:04
Show me a picture of Halle Berry. ,2023-11-13 13:26:32,image:0353/rm3257480192,2023-11-13 13:26:32
What does Julia Roberts look like? ,2023-11-13 13:26:42,image:3739/rm3651656960,2023-11-13 13:26:43
Let me know what Sandra Bullock looks like.,2023-11-13 13:26:55,image:3866/rm325111296,2023-11-13 13:26:55
recomend me some movies like The Lion King,2023-11-13 13:29:12,"Here are some recommendations: Aladdin, Tarzan, Beauty and the Beast, Mulan, Pocahontas",2023-11-13 13:29:12
can u recmmend me some movies like Titanic?,2023-11-13 13:29:39,"Here are some recommendations: Pirates of the Caribbean: The Curse of the Black Pearl, The Terminator, Moulin Rouge!, Alien, Aliens",2023-11-13 13:29:39
show me some reccomendations of drama movies,2023-11-13 13:30:15,I am sorry but I don't find any suitable results for you.,2023-11-13 13:30:15
show me recommendation of comedy movies.,2023-11-13 13:39:09,"Here are some recommendations: Kidnapping, Caucasian Style!, Madea, Race 3, The Associate, Ninna",2023-11-13 13:39:09
show me recommendation of comedy movies.,2023-11-13 13:46:01,"Here are some recommendations: Peacemaker, Kids in America, The Associate, Ninna, Madea",2023-11-13 13:46:02
Recommend me director of Comedy Movies,2023-11-13 13:52:32,"Here are some recommendations: Thunderbolt, Love at First Bark, Kidnapping, Caucasian Style!, The Associate, Peacemaker",2023-11-13 13:52:32
"
Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 13:52:55,"Here are some recommendations: The Lion King, Ralph Breaks the Internet, Dora and the Lost City of Gold, Dora and the Lost City of Gold, John Dies at the End",2023-11-13 13:52:56
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies?",2023-11-13 13:53:23,"Here are some recommendations: Sundown: The Vampire in Retreat, Ralph Breaks the Internet, The Angry Birds Movie 2, Wonder Park, Zootopia",2023-11-13 13:53:24
Recommend me director of Comedy Movies,2023-11-13 13:55:49,"Here are some recommendations: Thunderbolt, Kids in America, Ninna, Love at First Bark, Poseta maloj planeti",2023-11-13 13:55:49
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:07:19,I don't understand you. Can you rephrase it?,2023-11-13 14:07:20
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween.",2023-11-13 14:08:24,"Here are some recommendations: Smashed, A Nightmare on Elm Street 5: The Dream Child, The Texas Chain Saw Massacre, A Nightmare on Elm Street, A Nightmare on Elm Street",2023-11-13 14:08:25
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:11:02,I don't understand you. Can you rephrase it?,2023-11-13 14:11:03
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween.",2023-11-13 14:11:03,"Here are some recommendations: Smashed, The Crazies, Kill for Me, Dolan's Cadillac, A Nightmare on Elm Street",2023-11-13 14:11:04
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:11:31,I don't understand you. Can you rephrase it?,2023-11-13 14:11:32
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:16:01,I don't understand you. Can you rephrase it?,2023-11-13 14:16:02
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween.",2023-11-13 14:16:02,"Here are some recommendations: A Nightmare on Elm Street, Hell Fest, Overlord, Darkness Falls, The Crazies",2023-11-13 14:16:03
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:16:03,I don't understand you. Can you rephrase it?,2023-11-13 14:16:04
"
Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:26:12,"Here are some recommendations: Bad Asses on the Bayou, John Dies at the End, Sundown: The Vampire in Retreat, The Angry Birds Movie 2, Moana",2023-11-13 14:26:13
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-13 14:26:33,"Here are some recommendations: A Nightmare on Elm Street 5: The Dream Child, A Nightmare on Elm Street, Texas Chainsaw 3D, Halloween: Resurrection, Friday the 13th",2023-11-13 14:26:34
recommend me some comedy movies.,2023-11-13 14:27:13,"Here are some recommendations: Kids in America, Madea, Poseta maloj planeti, Race 3, Kidnapping, Caucasian Style!",2023-11-13 14:27:13
recommend me some comedy and horror movies.,2023-11-13 14:27:42,"Here are some recommendations: Eye of the Beast, Kids in America, Poseta maloj planeti, Peacemaker, Race 3",2023-11-13 14:27:42
recommend me some horror movies,2023-11-13 14:28:02,"Here are some recommendations: The Monster, Eye of the Beast, Hidden, Ghosthunters, Butcher Boys",2023-11-13 14:28:03
"recommend me some comedy movies
",2023-11-13 14:28:17,"Here are some recommendations: Love at First Bark, Race 3, Kids in America, Poseta maloj planeti, The Associate",2023-11-13 14:28:17
give me recommendation of movies of directors from comedy movies.,2023-11-13 14:28:58,I don't understand you. Can you rephrase it?,2023-11-13 14:28:58
"
Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:32:35,"Here are some recommendations: Phantasm II, Aladdin, Ralph Breaks the Internet, Dora and the Lost City of Gold, Moana",2023-11-13 14:32:36
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-13 14:32:36,"Here are some recommendations: The Crazies, Halloween H20: 20 Years Later, The Final Destination, A Nightmare on Elm Street 5: The Dream Child, Wes Craven's New Nightmare",2023-11-13 14:32:37
recommend me some comedy movies.,2023-11-13 14:32:37,"Here are some recommendations: Ninna, The Associate, Madea, Poseta maloj planeti, Kids in America",2023-11-13 14:32:38
recommend me some comedy and horror movies.,2023-11-13 14:32:38,"Here are some recommendations: Ghosthunters, Madea, Enter Nowhere, The Associate, Poseta maloj planeti",2023-11-13 14:32:39
recommend me some horror movies,2023-11-13 14:32:39,"Here are some recommendations: Most Likely to Die, The Monster, Hidden, Summer Camp, Humanoids from the Deep",2023-11-13 14:32:40
"recommend me some comedy movies
",2023-11-13 14:32:40,"Here are some recommendations: Ninna, Peacemaker, Love at First Bark, The Associate, Thunderbolt",2023-11-13 14:32:41
give me recommendation of movies of directors from comedy movies.,2023-11-13 14:32:41,"Here are some recommendations: Ion Sapdaru, comedy, Georgy Vitsin",2023-11-13 14:32:42
what are some directors of comedy movies?,2023-11-13 14:33:21,"According to embeddings, your answers are Ion Sapdaru, comedy, Georgy Vitsin",2023-11-13 14:33:21
"
Recommend movies similar to Hamlet and Othello. ",2023-11-13 14:34:17,"Here are some recommendations: The High Note, Dude Bro Party Massacre III, The Peanut Butter Falcon, Lost in America, Horse Girl",2023-11-13 14:34:17
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:34:42,"Here are some recommendations: The Lion King, Moana, Zootopia, Aladdin, Kalamazoo?",2023-11-13 14:34:42
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-13 14:35:05,"Here are some recommendations: When a Stranger Calls, Crystal Lake Memories: The Complete History of Friday the 13th, Final Destination 3, The Final Destination, Child's Play",2023-11-13 14:35:06
Who is the director of Good Will Hunting? ,2023-11-13 14:36:48,I think it is Gus Van Sant.,2023-11-13 14:36:48
Who directed The Bridge on the River Kwai? ,2023-11-13 14:36:58,I think it is David Lean.,2023-11-13 14:36:58
Who is the director of Star Wars: Episode VI - Return of the Jedi? ,2023-11-13 14:37:12,I think it is Richard Marquand.,2023-11-13 14:37:13
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-13 14:37:27,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-13 14:37:27
What is the MPAA film rating of Weathering with You? ,2023-11-13 14:37:35,"According to embeddings, your answers are R, PG-13, NC-17",2023-11-13 14:37:36
What is the genre of Good Neighbors? ,2023-11-13 14:37:46,"I think it's  art film, comedy-drama",2023-11-13 14:37:46
Show me a picture of Halle Berry. ,2023-11-13 14:37:58,image:0353/rm3257480192,2023-11-13 14:37:58
What does Julia Roberts look like? ,2023-11-13 14:38:09,image:3739/rm3651656960,2023-11-13 14:38:09
Let me know what Sandra Bullock looks like. ,2023-11-13 14:49:55,image:3866/rm325111296,2023-11-13 14:49:55
"Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-13 14:50:05,"Here are some recommendations: Zootopia, The Angry Birds Movie 2, Moana, Dora and the Lost City of Gold, Kalamazoo?",2023-11-13 14:50:06
Recommend movies similar to Hamlet and Othello. ,2023-11-13 14:50:18,"Here are some recommendations: Lost in America, Horse Girl, The Peanut Butter Falcon, Unbroken: Path to Redemption, That Evening Sun",2023-11-13 14:50:18
"Recommend movies like Nightmare on Elm Street, Friday the 13th, and Halloween. ",2023-11-13 14:50:30,"Here are some recommendations: Tuff Turf, A Nightmare on Elm Street, When a Stranger Calls, Friday the 13th, Jason X",2023-11-13 14:50:31
Recommend me director of Comedy Movies,2023-11-13 14:50:47,"Here are some recommendations: Ion Sapdaru, comedy, Georgy Vitsin",2023-11-13 14:50:48
Recomend me movies which are released in 2022,2023-11-13 14:51:36,"Here are some recommendations: Berkeley, The Moment After 2: The Awakening, Screamers: The Hunting, The Assignment, Darkman II: The Return of Durant",2023-11-13 14:51:37
give me some recommendation of movies released by Christopher Nolan. ,2023-11-13 14:52:34,"Here are some recommendations: Nathan Crowley, David Julyan, Emma Thomas, Kathryn Bigelow, Wally Pfister",2023-11-13 14:52:34
show me a poster of movie Titanic,2023-11-13 14:56:57,I cannot find any results for you. Do you have any other question for me?,2023-11-13 14:56:59
recommend me movies similar to The Masked Gang.,2023-11-13 15:05:40,"Here are some recommendations: Everything's Gonna Be Great, The Magician, The Masked Gang: Cyprus, A.R.O.G, Arif v 216",2023-11-13 15:05:41
"I like Spiderman Multiverse, recommend me some movies similar to this?",2023-11-13 15:06:23,"Here are some recommendations: Fred, Assassin's Creed: Lineage, Magic Mike XXXL: A Hardcore Parody, The Death of ""Superman Lives"": What Happened?, Sleeping with the Enemy",2023-11-13 15:06:24
"given that I like Lord of the Rings, Game of Thrones, recommend me some tv shows similar to this.",2023-11-13 15:07:02,"Here are some recommendations: 300: Rise of an Empire, The Snowman, The Postman, Lord of the Flies, The Great Gatsby",2023-11-13 15:07:03
recommend me some movies from Christopher Nolan,2023-11-13 15:08:51,"Here are some recommendations: These Amazing Shadows, Side by Side",2023-11-13 15:08:51
"given that I like Steven Spielberg movies, recommend me some movies.",2023-11-13 15:10:31,"Here are some recommendations: Anne Spielberg, John Williams, Quentin Tarantino, Indiana Jones, Michael Kahn",2023-11-13 15:10:31
recommend me movies similar to The Masked Gang.,2023-11-13 15:14:24,"Here are some recommendations: The Masked Gang: Iraq, The Magician, A.R.O.G, Hunting Season, Arif v 216",2023-11-13 15:14:25
